CustomerID,Lookalikes
C0001,"[('C0164', 0.9684103747672835), ('C0137', 0.9620808326053049), ('C0069', 0.9550713611775173)]"
C0002,"[('C0029', 0.999761634349898), ('C0031', 0.999012767647174), ('C0094', 0.9935549754103506)]"
C0003,"[('C0176', 0.8906401232895583), ('C0027', 0.8635793097874299), ('C0010', 0.8297171756607857)]"
C0004,"[('C0075', 0.997674065238924), ('C0175', 0.9940844827669523), ('C0195', 0.9935556068793537)]"
C0005,"[('C0058', 0.9997982043779897), ('C0123', 0.999705757102651), ('C0015', 0.999688962808302)]"
C0006,"[('C0079', 0.9998795967431424), ('C0196', 0.9942428517003666), ('C0117', 0.9890464129049238)]"
C0007,"[('C0140', 0.9985337287784549), ('C0085', 0.9953541911367758), ('C0125', 0.9953474115821759)]"
C0008,"[('C0179', 0.9965086350321658), ('C0081', 0.9926519091915026), ('C0090', 0.9879299030214599)]"
C0009,"[('C0192', 0.9983620640345529), ('C0177', 0.9963247565166136), ('C0083', 0.9956812088392266)]"
C0010,"[('C0142', 0.964094866380962), ('C0027', 0.9563891132349022), ('C0029', 0.9551193524385139)]"
C0011,"[('C0023', 0.9819122814188915), ('C0064', 0.9760655386675107), ('C0100', 0.9748553748057436)]"
C0012,"[('C0041', 0.9973183081389471), ('C0045', 0.9957679071207579), ('C0087', 0.9949099733379417)]"
C0013,"[('C0059', 0.9992581092102039), ('C0141', 0.9978361389320974), ('C0105', 0.9977518717942893)]"
C0014,"[('C0033', 0.9996378284444327), ('C0095', 0.9995970404048435), ('C0060', 0.99942148368938)]"
C0015,"[('C0131', 0.9999953416670487), ('C0058', 0.9999874168608279), ('C0005', 0.999688962808302)]"
C0016,"[('C0107', 0.9642876834861008), ('C0152', 0.8486463373851234), ('C0183', 0.8342045506911488)]"
C0017,"[('C0162', 0.9977685065474173), ('C0124', 0.9977055542411002), ('C0084', 0.9960896356490087)]"
C0018,"[('C0182', 0.9847257873183773), ('C0165', 0.9846269845769469), ('C0028', 0.9843792860871864)]"
C0019,"[('C0172', 0.986973097326942), ('C0116', 0.9583927127074583), ('C0056', 0.9057829108798118)]"
C0020,"[('C0080', 0.999894521123968), ('C0167', 0.9996792207434817), ('C0063', 0.9991215168244049)]"
